product,sale_date,category,quantity,total_price,total_profit,payment_type,customer_id,location,gender,age_band,year,quarter,page
Lilac/Mint Long Sleeve Shirts,2025-01-06,Children  — Girls Clothing,2,52.0,26.52,Debit Card,17553,Dublin,Prefer not to say,25–34,2025,1,1
Gertrude Cardigan,2025-01-06,Women — Tops,1,24.0,14.4,Debit Card,18566,Waterford,Male,Range 25-34,2025,1,1
Black Slim Fit Jeans,2025-01-06,Men — Jeans,1,46.0,18.4,Debit Card,10644,Dublin,Female,Group 25-34,2025,1,1
Blue Puff Sleeve T-shirt Five Pack,2025-01-07,Children — Girls Clothing,2,43.0,21.93,Credit Card,10491,Louth,F,Group 45-54,2025,1,1
Lattice Runner,2025-01-07,Homeware — Design,2,172.0,68.8,Credit Card,1519,Dublin,Female,None,2025,1,1
White Colour Block T-Shirt,2025-01-07,Children — Boys Clothing,3,67.5,34.42,Debit Card,14687,Tipperary,Male,Group 25-34,2025,1,1
Rose Print Prom Dress,2025-01-07,Children — Girls Clothing,2,74.0,37.74,Debit Card,5386,Dublin,Male,Category 25-34,2025,1,1
Rose Print Prom Dress,2025-01-08,Children — Girls Clothing,1,37.0,18.87,Debit Card,5960,Cavan,F,Range 35—44,2025,1,1
Blue Puff Sleeve T–shirt Five Pack,2025-01-08,Children — Girls Clothing,3,64.5,32.9,PayPal,5477,Cork,Female,Category 18–24,2025,1,2
Grey Marl Panda Face Crew,2025-01-09,Children — Boys Clothing,3,31.05,14.14,CC,15675,Clare,Female,Category 55-64,2025,1,2
Rose Print Prom Dress,2025-01-09,Children — Girls Clothing,2,74.0,37.74,CC,10562,Dublin,F,Group 18-24,2025,1,2
Navy Crew and Jogger Set,2025-01-09,Children —  Boys Clothing,1,17.5,8.93,Debit Card,11744,Dublin,Female,Group 25–34,2025,1,2
Navy Jersey Joggers,2025-01-09,Men — Trousers,1,24.0,11.76,Voucher,7094,Louth,Female,Category 35-44,2025,1,2
Mid Blue Straight Fit Jeans,2025-01-09,Men —  Jeans,1,38.0,15.2,Credit Card,11828,Dublin,F,55-64,2025,1,2
Black Signature Point Court Shoes,2025-01-10,Men — Shoes,1,39.6,15.4,Debit Card,9991,Wexford,Female,35–44,2025,1,2
Black Single Cuff Shirt,2025-01-10,Men — Shirts,2,84.0,31.92,PayPal,9716,Kildare,Male,Category 18—24,2025,1,2
Pink Cheque Shirt Dress,2025-01-10,Children —  Girls Clothing,1,14.85,6.76,Debit Card,5586,Dublin,Male,25-34,2025,1,2
White Tie and Shirt Set,2025-01-10,Men — Shirts,4,140.0,53.2,Credit Card,16100,Clare,Male,Range 25—34,2025,1,2
Fancy Ballerina Shoes,2025-01-10,Men — Shoes,1,43.0,19.35,Credit Card,7919,Monaghan,M,Group 25-34,2025,1,2
Woodel Wall Mirror,2025-01-10,Homeware — Design,1,66.0,26.4,Credit Card,13194,Limerick,Female,45—54,2025,1,2
Metallic Cross Strap Block Heels,2025-01-11,Men — Shoes,1,65.0,29.25,Credit Card,10953,Limerick,Male,Range 55-64,2025,1,2
Black Skinny Fit Jeans,2025-01-11,Men — Jeans,1,46.0,18.4,Credit Card,10937,Donegal,Female,Group 55–64,2025,1,2
Blue Puff Sleeve T-shirt Five Pack,2025-01-11,Children — Girls Clothing,2,43.0,21.93,Credit Card,5291,Monaghan,Female,Range 25—34,2025,1,2
Pink Slim Fit Double Cuff Shirt,2025-01-11,Men — Shirts,-1,29.0,11.02,Credit Card,15287,Dublin,M,Group 25-34,2025,1,2
Set of 3 Animal Canvas Prints,2025-01-11,Homeware — Design,1,23.5,9.4,Credit Card,6134,Kerry,F,45—54,2025,1,2
Black Loose Fit Jeans,2025-01-11,Men — Jeans,1,29.0,11.6,Debit Card,14687,Tipperary,Male,Category 25-34,2025,1,2
Mola Headlamp,2025-01-11,Homeware — Design,1,43.0,17.2,Credit Card,6358,Galway,F,25-34,2025,1,2
White Colour Block T-Shirt,2025-01-12,Children — Boys Clothing,3,67.5,34.42,Credit Card,5006,Kildare,Male,18-24,2025,1,2
Whitney Pullover,2025-01-12,Women — Tops,3,148.5,82.5,PayPal,4137,Galway,F,Range 35-44,2025,1,2
Light Blue Slim Fit Short Sleeve Stretch Shirt,2025-01-12,Men  — Shirts,1,23.5,8.93,Debit  Card,8756,Donegal,M,Group 65+,2025,1,2
Rose Gold Two Tier Drainer,2025-01-12,Homeware — Design,2,62.0,24.8,CC,1969,Dublin,M,25-34,2025,1,2
Grey Marl Panda Face Crew,2025-01-12,Children — Boys Clothing,3,34.5,17.59,Credit Card,14681,Dublin,M,Category 65+,2025,1,2
Black Skinny Fit Ultra Flex Jeans,2025-01-12,Men — Jeans,1,33.0,13.2,CC,1147,Galway,M,Group 25–34,2025,1,2
Navy Crew and Jogger Set,2025-01-12,Children —  Boys Clothing,3,52.5,26.77,Credit Card,14291,Dublin,Male,45-54,2025,1,2
Hawaiian Print Sun Safe Two Piece,2025-01-13,Children — Girls Clothing,1,17.5,8.93,Credit  Card,6762,Offaly,Male,35-44,2025,1,2
Black Cigarette Trousers,2025-01-13,Men — Trousers,2,48.0,23.52,Credit Card,18150,Longford,M,None,2025,1,2
Multi Floral Print Short Dress,2025-01-13,Women — Dresses,1,31.0,15.5,Debit Card,3789,Dublin,M,Category 35-44,2025,1,2
Black Single Cuff Shirt,2025-01-13,Men — Shirts,3,126.0,47.88,PayPal,5875,Kildare,Female,Category 25–34,2025,1,2
Double Wall Mug,2025-01-13,Homeware  — Design,1,11.25,3.75,Credit Card,13603,Wexford,M,Group 45-54,2025,1,3
White Polo Two Pack,2025-01-13,Children — Girls Clothing,1,7.5,3.83,Debit Card,4484,Cork,Male,25-34,2025,1,3
Navy Chino Trousers,2025-01-13,Men — Trousers,2,72.0,35.28,Debit Card,5837,Cavan,F,Range 35—44,2025,1,3
White Colour Block T-Shirt,2025-01-14,Children — Boys Clothing,3,67.5,34.42,Credit Card,16034,Dublin,Male,Group 25-34,2025,1,3
Nude Peep Toe Cork Wedges,2025-01-14,Men — Shoes,2,88.0,39.6,Debit Card,5400,Kildare,F,45—54,2025,1,3
Cream Vintage Bin,2025-01-15,Homeware — Bed Bath,4,288.0,100.8,Credit Card,1866,Dublin,Female,Range 18-24,2025,1,3
White Polo Two Pack,2025-01-15,Children — Girls Clothing,1,7.5,3.83,Credit Card,5150,Dublin,Female,35–44,2025,1,3
Camp Stool,2025-01-15,Homeware — Design,3,49.5,19.8,Credit Card,5244,Cork,Female,Group 25-34,2025,1,3
Dwellers Stool,2025-01-15,Homeware —  Design,9,103.5,41.4,Credit Card,3294,Dublin,F,Range 25–34,2025,1,3
Multi Short Sleeve Character T-shirt,2025-01-15,Children — Boys Clothing,1,16.5,8.41,Credit Card,4363,Dublin,Female,Group 18—24,2025,1,3
Leather Court Shoes,2025-01-15,Men — Shoes,1,37.0,16.65,Credit Card,4623,Kilkenny,F,35-44,2025,1,3
White Short Sleeve Bird Print Shirt,2025-01-15,Men — Shirts,1,29.0,11.02,Debit Card,13066,Meath,F,Category 25-34,2025,1,3
Cream Vintage Bin,2025-01-16,Homeware — Bed Bath,5,360.0,126.0,Credit Card,3156,Mayo,Female,Range 25-34,2025,1,3
Dark Ink Slim Fit Jeans,2025-01-16,Men — Jeans,1,46.0,18.4,Voucher,8481,Galway,F,25–34,2025,1,3
Black Skinny Fit Ultra Flex Jeans,2025-01-16,Men  — Jeans,1,33.0,13.2,Credit Card,16706,Wicklow,F,Range 25-34,2025,1,3
Rose Print Prom Dress,2025-01-16,Children — Girls Clothing,1,37.0,18.87,Credit Card,16959,Wicklow,Female,Range 18-24,2025,1,3
Foraker Canvas Coat,2025-01-16,Women — Tops,1,41.4,23.0,Credit Card,5609,Dublin,Male,25-34,2025,1,3
Rose Print Prom Dress,2025-01-16,Children — Girls Clothing,1,37.0,18.87,PayPal,13066,Meath,Female,Category 25–34,2025,1,3
Multi Llama Vests Three Pack,2025-01-16,Children — Girls Clothing,1,17.5,8.93,Debit  Card,13503,Westmeath,M,Category 25-34,2025,1,3
Navy Linen Blend Dress,2025-01-17,Women — Dresses,1,30.0,15.0,Debit Card,14850,Westmeath,Male,Range 35-44,2025,1,3
Black Skinny Fit Ultra Flex Jeans,2025-01-17,Men — Jeans,1,33.0,13.2,Credit Card,2712,Dublin,Female,Category 35—44,2025,1,3
Navy/White Long Sleeve Gingham Cheque Shirt,2025-01-17,Men — Shirts,2,58.0,22.04,Pay  Pal,9950,Galway,M,Category 35–44,2025,1,3
White Tie and Shirt Set,2025-01-17,Men — Shirts,4,140.0,53.2,CC,8059,Wicklow,Female,45-54,2025,1,3
Blue Puff Sleeve T-shirt Five Pack,2025-01-18,Children — Girls Clothing,4,77.4,35.26,Debit Card,1116,Wicklow,Male,Category 25-34,2025,1,3
Black Skinny Fit Jeans,2025-01-18,Men  — Jeans,1,46.0,18.4,Debit Card,18856,Tipperary,Female,25-34,2025,1,3
Black Loose Fit Jeans,2025-01-18,Men — Jeans,1,29.0,11.6,Credit Card,6033,Dublin,F,45—54,2025,1,3
Multi Llama Vests Three Pack,2025-01-18,Children — Girls Clothing,1,17.5,8.93,Credit Card,19087,Dublin,F,Group 35-44,2025,1,3
Crinkle Velvet Bed Set,2025-01-18,Homeware — Bed Bath,2,110.0,38.5,Credit Card,1366,Dublin,F,Group 18-24,2025,1,3
Knitted Pom Pom Throw,2025-01-18,Homeware — Bed Bath,1,29.7,8.25,CC,4569,Kerry,Female,Range 25—34,2025,1,3
Black Loose Fit Jeans,2025-01-19,Men — Jeans,1,29.0,11.6,Credit Card,5978,Dublin,Female,Group 18-24,2025,1,3
White Colour Block T-Shirt,2025-01-19,Children — Boys Clothing,2,40.5,18.45,Pay Pal,13603,Wexford,M,Group 45—54,2025,1,4
Lilac/Mint Long Sleeve Shirts,2025-01-20,Children — Girls Clothing,2,46.8,21.32,Debit Card,6294,Dublin,Female,Range 35-44,2025,1,4
Dark Blue Belted Jeans,2025-01-20,Men — Jeans,1,29.0,11.6,Credit Card,5425,Tipperary,Female,Category 25-34,2025,1,4
Pink Cheque Shirt Dress,2025-01-20,Children — Girls Clothing,1,16.5,8.41,Debit Card,10644,Dublin,Female,Range 25-34,2025,1,4
Navy Suede Loafers,2025-01-20,Men — Shoes,1,35.0,15.75,Debit Card,6228,Wexford,Female,Category 55-64,2025,1,4
Fluro Shorts Two Pack,2025-01-20,Children — Boys Clothing,4,70.0,35.7,Credit Card,3150,Dublin,Male,Category 25–34,2025,1,4
Navy Chino Trousers,2025-01-20,Men — Trousers,3,108.0,52.92,PayPal,15559,Laois,Female,45-54,2025,1,4
Blue Floral Embroidered Mac,2025-01-21,Children —  Girls Clothing,1,35.0,17.85,Voucher,8059,Wicklow,Female,Group 45–54,2025,1,4
Multi Llama Vests Three Pack,2025-01-21,Children — Girls Clothing,1,15.75,7.17,Credit Card,13806,Cork,Male,Group 35-44,2025,1,4
Double Wall Mug,2025-01-21,Homeware — Design,1,12.5,5.0,Credit Card,16131,Tipperary,Female,55–64,2025,1,4
Dark Wash Straight Fit Jeans,2025-01-21,Men — Jeans,1,33.0,13.2,Credit Card,1009,Kildare,Prefer not to say,None,2025,1,4
Camp Stool,2025-01-21,Homeware — Design,5,82.5,33.0,Credit Card,19216,Donegal,Female,Range 25-34,2025,1,4
White Short Sleeve Oxford Shirt,2025-01-22,Men — Shirts,1,53.0,20.14,Debit Card,1925,Kildare,F,Range 25—34,2025,1,4
Mola Headlamp,2025-01-22,Homeware — Design,1,43.0,17.2,Credit Card,9625,Dublin,M,Group 25–34,2025,1,4
Red Joggers Two Pack,2025-01-22,Children — Boys Clothing,1,15.0,7.65,Credit Card,3241,Carlow,Female,Group 18–24,2025,1,4
Dark Wash Straight Fit Jeans,2025-01-22,Men — Jeans,1,33.0,13.2,Pay Pal,16594,Galway,Male,55—64,2025,1,4
Multi Short Sleeve Character T-shirt,2025-01-22,Children — Boys Clothing,1,16.5,8.41,Debit Card,6491,Dublin,F,Category 55-64,2025,1,4
Black Skinny Fit Ultra Flex Jeans,2025-01-22,Men — Jeans,1,33.0,13.2,Debit Card,6603,Dublin,M,Category 45-54,2025,1,4
Pink Linen Blend Parallel Trousers,2025-01-23,Men — Trousers,3,105.0,51.45,Debit Card,17087,Galway,Male,18-24,2025,1,4
Black Mary Jane Shoes,2025-01-23,Men — Shoes,1,44.0,19.8,Debit Card,7559,Cork,M,Group 35-44,2025,1,4
Rose Print Prom Dress,2025-01-23,Children — Girls Clothing,2,74.0,37.74,Debit Card,8772,Limerick,M,Range 25–34,2025,1,4
Blue Puff Sleeve T-shirt Five Pack,2025-01-23,Children — Girls Clothing,4,86.0,43.86,Credit Card,2547,Wicklow,Prefer not to say,Group 35-44,2025,1,4
White Colour Block T-Shirt,2025-01-23,Children — Boys Clothing,1,20.25,9.22,Debit Card,17747,Wexford,M,45—54,2025,1,4
Pink Cheque Shirt Dress,2025-01-24,Children — Girls Clothing,1,16.5,8.41,Credit Card,12891,Galway,Female,45-54,2025,1,4
Navy Jersey Joggers,2025-01-24,Men —  Trousers,1,24.0,11.76,Debit Card,14853,Cork,Prefer not to say,25-34,2025,1,4
Navy Linen Blend Dress,2025-01-24,Women — Dresses,1,30.0,15.0,Credit Card,6771,Dublin,F,Category 25-34,2025,1,4
White Short Sleeve Bird Print Shirt,2025-01-24,Men — Shirts,1,26.1,8.12,Credit Card,8250,Laois,M,25-34,2025,1,4
Black Skinny Fit Jeans,2025-01-24,Men — Jeans,1,46.0,18.4,Credit Card,9537,Longford,Male,Range 25-34,2025,1,4
Fluro Shorts Two Pack,2025-01-24,Children — Boys Clothing,4,70.0,35.7,Debit Card,2172,Kilkenny,Female,Range None,2025,1,4
Cream Vintage Bin,2025-01-25,Homeware — Bed Bath,1,72.0,25.2,Credit Card,8756,Donegal,Male,65+,2025,1,4
Black Loose Fit Jeans,2025-01-25,Men — Jeans,1,29.0,11.6,Credit Card,4917,Wexford,Male,Range 35-44,2025,1,5
Hawaiian Print Sun Safe Two Piece,2025-01-25,Children  — Girls Clothing,1,17.5,8.93,Credit Card,11750,Dublin,Female,Category 35-44,2025,1,5
White Polo Two Pack,2025-01-25,Children — Girls Clothing,2,15.0,7.65,Debit Card,18712,Cork,Male,Category 35-44,2025,1,5
Lilac/Mint Long Sleeve Shirts,2025-01-25,Children — Girls Clothing,2,52.0,26.52,CC,17678,Dublin,Male,18-24,2025,1,5
Navy Herringbone Throw,2025-01-26,Homeware — Bed Bath,5,445.0,155.75,Credit Card,9569,Dublin,Male,45—54,2025,1,5
Multi Llama Vests Three Pack,2025-01-27,Children — Girls Clothing,1,17.5,8.93,Debit Card,4909,Dublin,Male,Range 25-34,2025,1,5
Mid Blue Slim Fit Ultra Flex Jeans,2025-01-27,Men — Jeans,1,48.0,19.2,Credit Card,4535,Cork,Female,18–24,2025,1,5
Blue Stripe Snuggle Fit Pyjamas,2025-01-27,Children — Boys Clothing,3,55.5,28.3,Debit Card,6937,Cork,F,45-54,2025,1,5
Grey Marl Panda Face Crew,2025-01-28,Children  — Boys Clothing,3,34.5,17.59,Credit Card,6458,Mayo,M,Group 18-24,2025,1,5
Navy Herringbone Throw,2025-01-28,Homeware —  Bed Bath,4,356.0,124.6,Credit Card,4608,Louth,Female,Category 25—34,2025,1,5
Red Joggers Two Pack,2025-01-28,Children — Boys Clothing,1,15.0,7.65,Debit Card,11066,Kildare,M,Category 18–24,2025,1,5
Blue Stripe Snuggle Fit Pyjamas,2025-01-28,Children — Boys  Clothing,3,55.5,28.3,Credit Card,10087,Dublin,Female,45—54,2025,1,5
Navy Herringbone Throw,2025-01-28,Homeware — Bed Bath,5,445.0,155.75,Credit Card,13141,Dublin,Female,Category 35–44,2025,1,5
Multi Llama Vests Three Pack,2025-01-28,Children — Girls Clothing,1,17.5,8.93,PayPal,16956,Dublin,M,Category 25-34,2025,1,5
White Cropped Leggings,2025-01-28,Men — Trousers,1,35.0,17.15,Debit Card,5981,Westmeath,Male,Category 55-64,2025,1,5
Lilac/Mint Long Sleeve Shirts,2025-01-29,Children — Girls Clothing,2,52.0,26.52,Credit Card,4825,Louth,Female,Range 25-34,2025,1,5
White Tie and Shirt Set,2025-01-29,Men — Shirts,3,105.0,39.9,Debit Card,1078,Dublin,Female,Category 35—44,2025,1,5
Black Skinny Fit Ultra Flex Jeans,2025-01-29,Men — Jeans,1,29.7,9.9,Voucher,19319,Monaghan,Female,25-34,2025,1,5
Fancy Ballerina Shoes,2025-01-30,Men — Shoes,2,86.0,38.7,Pay Pal,17837,Dublin,F,Range 18-24,2025,1,5
Black Geo Jacquard Dress,2025-01-30,Women — Dresses,2,66.6,29.6,Debit Card,2191,Roscommon,F,Range 18-24,2025,1,5
Rose Print Prom Dress,2025-01-30,Children — Girls Clothing,1,37.0,18.87,Credit Card,14694,Cork,F,Range 25-34,2025,1,5
Light Grey Straight Fit Jeans,2025-01-30,Men — Jeans,2,58.0,23.2,Credit Card,18356,Cork,Female,Category 18-24,2025,1,5
Pink Floral Blend Printed Dress,2025-01-30,Women — Dresses,1,27.9,12.4,PayPal,5553,Dublin,Male,Range 45-54,2025,1,5
Lilac/Mint Long Sleeve Shirts,2025-01-30,Children  —  Girls Clothing,-1,23.4,10.66,Credit Card,14784,Galway,Female,35-44,2025,1,5
White Short Sleeve Oxford Shirt,2025-01-30,Men — Shirts,1,53.0,20.14,Credit Card,19159,Dublin,Male,Category 35-44,2025,1,5
White Cropped Leggings,2025-01-31,Men — Trousers,1,35.0,17.15,Credit Card,9950,Galway,Male,Group 35–44,2025,1,5
Black Skinny Fit Ultra Flex Jeans,2025-01-31,Men — Jeans,1,33.0,13.2,Debit Card,6656,Louth,Female,Range 45–54,2025,1,5
Whitney Pullover,2025-01-31,Women — Tops,2,99.0,55.0,Credit Card,18019,Tipperary,M,45-54,2025,1,5
Long Sleeve Swing Shirt,2025-02-01,Women  — Tops,1,31.5,17.5,Pay Pal,19441,Galway,Female,Group 18-24,2025,1,5
Mid Blue Straight Fit Jeans,2025-02-01,Men — Jeans,2,76.0,30.4,Credit Card,19447,Cork,F,Range 55-64,2025,1,5
Dark Blue Belted Jeans,2025-02-01,Men — Jeans,1,29.0,11.6,Credit Card,1856,Roscommon,M,35-44,2025,1,6
Multi Llama Vests Three Pack,2025-02-01,Children — Girls Clothing,1,17.5,8.93,Credit Card,15700,Wicklow,Female,45—54,2025,1,6
Rose Print Prom Dress,2025-02-01,Children — Girls Clothing,1,37.0,18.87,Credit  Card,10806,Dublin,M,Group 18–24,2025,1,6
Orange/Navy Shorts Three Pack,2025-02-02,Children — Girls Clothing,1,16.5,8.41,PayPal,4669,Laois,M,Category 25–34,2025,1,6
Dark Wash Straight Fit Jeans,2025-02-02,Men — Jeans,1,33.0,13.2,Debit Card,17097,Donegal,Male,Range 18—24,2025,1,6
White Polo Two Pack,2025-02-02,Children — Girls Clothing,2,15.0,7.65,Debit Card,8722,Kerry,Male,35—44,2025,1,6
Floral Embroidered Kaftan,2025-02-02,Children — Girls Clothing,2,64.0,32.64,Debit Card,4226,Tipperary,Female,Category 35–44,2025,1,6
Chevron Pattern Towering Heels,2025-02-03,Men — Shoes,1,57.0,25.65,Debit Card,10150,Dublin,Female,18-24,2025,1,6
Pink Cheque Shirt Dress,2025-02-03,Children — Girls Clothing,1,16.5,8.41,Debit Card,4887,Dublin,Male,Category 45—54,2025,1,6
Mola Headlamp,2025-02-03,Homeware — Design,2,86.0,34.4,Credit Card,18997,Dublin,M,Group 25–34,2025,1,6
Dark Ink Slim Fit Jeans,2025-02-03,Men — Jeans,1,46.0,18.4,Debit Card,2028,Cavan,Female,25-34,2025,1,6
Soft Velour Eyelet Lined Curtains,2025-02-04,Homeware — Design,2,212.0,84.8,CC,8162,Dublin,Male,Group 18–24,2025,1,6
Black Full Length Leggings,2025-02-04,Men — Trousers,1,46.0,22.54,Credit Card,9947,Cork,M,Category 55-64,2025,1,6
White Tie and Shirt Set,2025-02-04,Men — Shirts,3,105.0,39.9,Credit Card,15050,Dublin,F,18-24,2025,1,6
Dark Blue Belted Jeans,2025-02-04,Men — Jeans,1,29.0,11.6,Debit Card,3356,Dublin,Female,Group 35—44,2025,1,6
Dawson Trolley,2025-02-04,Homeware — Design,1,57.0,22.8,CC,19547,Dublin,Male,Group 35-44,2025,1,6
Pink Cheque Shirt Dress,2025-02-04,Children — Girls Clothing,1,16.5,8.41,Credit Card,6250,Westmeath,Male,Group 55-64,2025,1,6
Marshall Oxford Shirt,2025-02-05,Men — Shirts,2,126.0,47.88,PayPal,8984,Galway,F,Range 25-34,2025,1,6
Black Skinny Fit Jeans,2025-02-05,Men — Jeans,1,46.0,18.4,Credit Card,19256,Galway,Female,45-54,2025,1,6
Black Single Cuff Shirt,2025-02-06,Men — Shirts,3,126.0,47.88,Credit Card,4922,Galway,Female,Category 25-34,2025,1,6
Marshall Oxford Shirt,2025-02-06,Men — Shirts,2,126.0,47.88,Debit Card,10819,Roscommon,Female,35–44,2025,1,6
Grey Marl Panda Face Crew,2025-02-06,Children — Boys Clothing,3,34.5,17.59,Debit Card,15237,Donegal,M,Group 25–34,2025,1,6
Dawson Trolley,2025-02-06,Homeware — Design,1,57.0,22.8,Credit Card,3700,Cork,Prefer not to say,Group 25-34,2025,1,6
Red Joggers Two Pack,2025-02-06,Children  — Boys Clothing,1,15.0,7.65,Debit Card,6641,Cork,Female,Category 55-64,2025,1,6
Dark Wash Straight Fit Jeans,2025-02-06,Men — Jeans,1,33.0,13.2,PayPal,15491,Waterford,Male,Group 18—24,2025,1,6
Mid Blue Straight Fit Jeans,2025-02-07,Men — Jeans,1,38.0,15.2,Debit Card,19228,Kildare,Prefer not to say,Group 18-24,2025,1,6
White Ric-Rac Dress,2025-02-07,Women  — Dresses,1,45.9,20.4,Credit Card,14784,Galway,Female,35–44,2025,1,6
Fancy Ballerina Shoes,2025-02-07,Men — Shoes,-1,43.0,19.35,PayPal,4806,Kildare,Female,35—44,2025,1,6
Blue Floral Embroidered Mac,2025-02-07,Children — Girls Clothing,1,35.0,17.85,Debit Card,15087,Cork,Female,Category 35-44,2025,1,6
Dark Wash Straight Fit Jeans,2025-02-07,Men —  Jeans,1,29.7,9.9,Credit Card,17906,Dublin,F,Group 25-34,2025,1,6
Cream Vintage Bin,2025-02-07,Homeware — Bed Bath,3,216.0,75.6,Credit Card,11450,Dublin,Female,Range 55—64,2025,1,7
Marshall Oxford Shirt,2025-02-08,Men — Shirts,3,170.1,52.92,Credit Card,9012,Tipperary,Female,35–44,2025,1,7
Red Joggers Two Pack,2025-02-08,Children — Boys Clothing,1,13.5,6.15,Credit Card,2044,Cork,Male,Group 18—24,2025,1,7
Multi Llama Vests Three Pack,2025-02-08,Children  — Girls Clothing,1,17.5,8.93,Debit Card,9469,Mayo,Female,18-24,2025,1,7
Dark Wash Straight Fit Jeans,2025-02-09,Men — Jeans,1,33.0,13.2,Debit Card,16328,Dublin,Male,18-24,2025,1,7
Navy Suede Loafers,2025-02-09,Men — Shoes,1,35.0,15.75,Credit Card,19200,Dublin,F,Group 35—44,2025,1,7
Black Loose Fit Jeans,2025-02-09,Men — Jeans,1,29.0,11.6,Credit Card,2128,Dublin,Female,45–54,2025,1,7
Rose Gold Two Tier Drainer,2025-02-09,Homeware — Design,1,31.0,12.4,Credit Card,16034,Dublin,Male,Category 25-34,2025,1,7
Lodge Women's Shirt,2025-02-10,Women — Tops,1,33.3,18.5,Debit Card,2641,Dublin,Female,18—24,2025,1,7
Red Wing Iron Ranger Boot,2025-02-10,Men — Shoes,1,87.0,39.15,CC,1394,Mayo,Female,Category 35–44,2025,1,7
Orange/Navy Shorts Three Pack,2025-02-11,Children — Girls  Clothing,2,33.0,16.83,Debit Card,12831,Cork,F,Group 18–24,2025,1,7
Floral Embroidered Kaftan,2025-02-11,Children — Girls Clothing,3,96.0,48.96,Debit Card,3056,Cork,Female,Category 35—44,2025,1,7
Orange/Navy Shorts Three Pack,2025-02-11,Children — Girls Clothing,2,29.7,13.53,Debit Card,1409,Sligo,Female,25-34,2025,1,7
Lilac/Mint Long Sleeve Shirts,2025-02-11,Children — Girls Clothing,1,26.0,13.26,Credit Card,11244,Dublin,Female,Range 18-24,2025,1,7
Black Single Cuff Shirt,2025-02-11,Men — Shirts,2,75.6,23.52,Credit Card,9712,Tipperary,Female,Category 35–44,2025,1,7
Mola Headlamp,2025-02-11,Homeware — Design,1,43.0,17.2,Credit Card,15484,Dublin,Male,35-44,2025,1,7
Mola Headlamp,2025-02-12,Homeware — Design,1,43.0,17.2,Credit Card,2841,Mayo,Female,18—24,2025,1,7
